paper,subject,trial_number,trial_looking_time,age_in_days
brandone_2009,brandone_2009.1.1_successfulreaching10.39,2,13.7,304.4
brandone_2009,brandone_2009.1.1_successfulreaching10.39,3,15.43,304.4
brandone_2009,brandone_2009.1.1_successfulreaching10.39,4,12.1,304.4
brandone_2009,brandone_2009.1.1_successfulreaching10.39,5,15.9,304.4
brandone_2009,brandone_2009.1.1_successfulreaching10.39,6,12,304.4
brandone_2009,brandone_2009.1.1_successfulreaching10.39,7,11.18,304.4
brandone_2009,brandone_2009.1.1_successfulreaching10.39,8,10.27,304.4
brandone_2009,brandone_2009.1.1_successfulreaching10.39,9,10.27,304.4
brandone_2009,brandone_2009.1.1_successfulreaching10.26,1,2.88,252.3
brandone_2009,brandone_2009.1.1_successfulreaching10.26,2,7.08,252.3
brandone_2009,brandone_2009.1.1_successfulreaching10.26,3,11.72,252.3
brandone_2009,brandone_2009.1.1_successfulreaching10.26,4,16.7,252.3
brandone_2009,brandone_2009.1.1_successfulreaching10.26,5,16.25,252.3
brandone_2009,brandone_2009.1.1_successfulreaching10.26,6,13.73,252.3
brandone_2009,brandone_2009.1.1_successfulreaching10.26,7,17.3,252.3
brandone_2009,brandone_2009.1.1_successfulreaching10.26,8,15.03,252.3
brandone_2009,brandone_2009.1.1_successfulreaching10.26,9,10.17,252.3
brandone_2009,brandone_2009.1.1_successfulreaching10.55,1,12.38,306.2
brandone_2009,brandone_2009.1.1_successfulreaching10.55,2,15.22,306.2
brandone_2009,brandone_2009.1.1_successfulreaching10.55,3,11.22,306.2
brandone_2009,brandone_2009.1.1_successfulreaching10.55,4,13.78,306.2
brandone_2009,brandone_2009.1.1_successfulreaching10.55,5,8.93,306.2
brandone_2009,brandone_2009.1.1_successfulreaching10.55,6,15.1,306.2
brandone_2009,brandone_2009.1.1_successfulreaching10.55,7,17.53,306.2
brandone_2009,brandone_2009.1.1_successfulreaching10.55,8,10.55,306.2
brandone_2009,brandone_2009.1.1_successfulreaching10.55,9,12.13,306.2
brandone_2009,brandone_2009.1.1_successfulreaching10.53,1,6.13,307.1
brandone_2009,brandone_2009.1.1_successfulreaching10.53,2,11.77,307.1
brandone_2009,brandone_2009.1.1_successfulreaching10.53,3,16.08,307.1
brandone_2009,brandone_2009.1.1_successfulreaching10.53,4,19.35,307.1
brandone_2009,brandone_2009.1.1_successfulreaching10.53,5,18.88,307.1
brandone_2009,brandone_2009.1.1_successfulreaching10.53,6,22.1,307.1
brandone_2009,brandone_2009.1.1_successfulreaching10.53,7,11.93,307.1
brandone_2009,brandone_2009.1.1_successfulreaching10.53,8,13.48,307.1
brandone_2009,brandone_2009.1.1_successfulreaching10.53,9,12.27,307.1
brandone_2009,brandone_2009.1.1_successfulreaching10.61,1,12.92,309.9
brandone_2009,brandone_2009.1.1_successfulreaching10.61,2,10.98,309.9
brandone_2009,brandone_2009.1.1_successfulreaching10.61,3,13.63,309.9
brandone_2009,brandone_2009.1.1_successfulreaching10.61,4,14.03,309.9
brandone_2009,brandone_2009.1.1_successfulreaching10.61,5,18.88,309.9
brandone_2009,brandone_2009.1.1_successfulreaching10.61,6,15.92,309.9
brandone_2009,brandone_2009.1.1_successfulreaching10.61,7,20.62,309.9
