subject,dishab_trial_num,dishab_diff,agedays,complexity,sd_volatility,mad_volatility,cv_volatility,range_volatility,mad_robust_volatility,garch_volatility,decay_rate,decay_rates_random,group,age_in_months,age
brandone_2009.1.1_failedreaching10.313,11,0.020339684237122402,311.5,complex,3.8870868840874193,3.14,0.33081590502871655,11.399999999999999,2.8,1.9480345884993928,-0.24129986238345805,-0.03901112796570848,infants,NA,NA
brandone_2009.1.1_failedreaching10.304,11,0.11934675763256619,290.2,complex,5.194666067761772,3.9419999999999993,0.4282494697247958,16.4,1.8499999999999996,4.595063599478317,-0.22272186124195112,-9.508774730694891e-4,infants,NA,NA
brandone_2009.1.1_failedreaching10.317,6,0.17185025692665912,314.4,complex,11.29902650673942,9.008000000000001,0.9010387963907033,26.8,4.5,NA,-0.3091026635336262,-0.150894165066584,infants,NA,NA
brandone_2009.1.1_failedreaching10.302,11,-0.8147543126547321,298.3,complex,4.814053501064473,3.56,0.3814622425566144,16.7,2.6499999999999995,4.546339734001027,-0.20766002755389554,-0.052401750216981555,infants,NA,NA
brandone_2009.1.1_failedreaching10.315,11,0.8047382459684076,309.5,complex,3.7895177060470955,2.988,0.2951337777295246,12.7,2.0999999999999996,3.2780073994940557,-0.20817017894852957,-0.07061522383227113,infants,NA,NA
brandone_2009.1.1_failedreaching10.311,7,-0.04879016416943216,304.4,complex,7.1177711867316065,5.544444444444444,0.5503431329947118,19.8,4.35,NA,-0.2822863011350808,-0.12661554172649797,infants,NA,NA
brandone_2009.1.1_failedreaching10.306,8,0.18632957819149354,296.3,complex,9.97692575992463,7.49795918367347,0.5893542642993451,28.1,6.699999999999999,4.888163927883389,-0.21747485074382167,-0.17260758856171712,infants,NA,NA
brandone_2009.1.1_failedreaching10.303,7,-0.21401106775093703,315.6,complex,14.016050323349539,9.677777777777779,0.6434300071927868,38,6.749999999999999,NA,-0.18764998358510088,-0.2136774360952989,infants,NA,NA
brandone_2009.1.1_failedreaching12.223,11,0.6267020811517927,350.1,complex,3.9603165457898872,3.265625,0.41199651971806367,11.600000000000001,2.5,NA,-0.22857921962708103,-0.04145363543944468,infants,NA,NA
brandone_2009.1.1_failedreaching12.209,11,-0.08894748601649627,355.1,complex,1.3451559182654047,1.02,0.24237043572349634,4.1000000000000005,0.75,1.242899718892036,-0.3536919318806448,-0.05170191962335485,infants,NA,NA
